x,y,z
1.46956e-05,-0.304659,-0.0359008
0.000233496,-0.35833,-0.10403
0.000367792,-0.510174,-0.161044
0.000478522,-0.68136,-0.219827
0.000505998,-0.859812,-0.275895
0.208829,-0.0161483,-0.379991
0.223091,-0.0535163,-0.441058
0.239693,-0.0741496,-0.498926
0.258114,-0.0886393,-0.554554
0.277424,-0.105247,-0.607012
0.297765,-0.122084,-0.656344
0.318953,-0.139524,-0.701788
0.340838,-0.159186,-0.744025
0.363436,-0.181529,-0.783253
0.383526,-0.201551,-0.79012
0.406498,-0.228319,-0.823153
0.430534,-0.253985,-0.854403
0.454629,-0.283681,-0.882083
0.479686,-0.311538,-0.90829
0.505074,-0.341611,-0.932347
0.530621,-0.373711,-0.954441
0.556308,-0.407835,-0.97487
0.582856,-0.44061,-0.995319
0.607384,-0.481627,-1.0121
0.631854,-0.522964,-1.0285
0.656493,-0.560853,-1.04622
0.675535,-0.597595,-1.05449
0.733381,-0.705917,-1.23535
0.753409,-0.77338,-1.2312
0.774683,-0.825668,-1.23381
0.85105,-0.888326,-1.34777
0.838312,-1.07917,-1.31993
0.833916,-1.26297,-1.2952
0.829172,-1.44534,-1.26897
0.823726,-1.62532,-1.2402
0.817638,-1.80297,-1.20984
0.810912,-1.97786,-1.17789
0.803624,-2.14968,-1.14462
0.795555,-2.31795,-1.11044
0.787072,-2.48264,-1.07566
0.778048,-2.64359,-1.04093
0.768499,-2.80071,-1.00686
0.78433,-3.03931,-0.94029
0.791442,-3.25568,-0.848593
0.786268,-3.44606,-0.732148
0.767469,-3.60151,-0.596026
0.733178,-3.71822,-0.447689
0.685178,-3.79233,-0.293259
0.631393,-3.81447,-0.135418
-0.00196432,0.249296,-2.06626
0.00536837,0.557697,-2.14733
-0.0901574,0.631842,-1.96154
-0.172766,0.817647,-1.833
-0.233612,1.10184,-1.83314
-0.0110642,1.26755,-1.92971
0.00399253,1.56059,-2.29576
0.16399,1.65861,-2.8731
0.575848,2.94525,-3.12014
0.625282,2.93473,-3.21313
0.69905,2.91118,-3.36718
0.77797,2.83967,-3.56933
0.8404,2.73925,-3.87417
0.916874,2.69587,-4.15077
0.902099,2.6234,-4.27394
0.913705,2.41365,-4.37739
0.872571,2.21682,-4.49903
0.817667,1.99918,-4.59812
0.743724,1.73749,-4.65178
0.633081,1.44924,-4.66421
0.505029,1.1083,-4.64919
0.752672,0.961814,-4.6236
0.734848,0.612174,-4.53606
0.679688,0.268969,-4.34321
0.53141,-0.0231167,-4.04542
0.32325,-0.2685,-3.70759
0.126353,-0.404956,-3.30859
-0.0719896,-0.454833,-2.96813
-0.327104,-0.296328,-2.61197
-0.501353,0.0993735,-2.39649
-0.425577,0.441332,-2.3984
0.041643,1.11154,-1.93902
0.148995,1.43756,-2.51926
0.33521,1.7219,-3.27166
0.500393,1.58153,-4.18461
0.612507,1.02234,-4.99106
0.986157,2.4185,-4.88617
0.916623,2.3382,-5.0433
0.884518,2.2651,-5.15553
0.847269,2.20025,-5.29152
0.831515,2.34574,-5.48208
0.849858,2.31404,-5.83971
0.965417,2.3174,-6.33957
1.13559,2.01523,-6.68883
1.32927,1.61761,-6.96697
1.51766,1.122,-7.15916
1.69072,0.530456,-7.24889
1.97178,0.0520689,-7.19846
2.10819,-0.566814,-6.96186
2.17387,-1.11979,-6.58481
2.16537,-1.56256,-6.12152
2.10481,-1.85184,-5.60704
1.98657,-2.03701,-5.07364
1.82727,-2.07422,-4.48615
1.60992,-1.86422,-3.87978
1.3331,-1.32929,-3.41179
1.03972,-0.526516,-3.31767
0.805641,0.290216,-3.74575
0.892404,1.01343,-4.58974
0.943547,1.03088,-5.86896
1.12261,0.392474,-7.01498
