x,y,z
-7.11931e-05,-0.30646,0.0924407
-0.000446005,-0.36446,0.146873
-0.00131064,-0.521666,0.196443
-0.00264292,-0.700249,0.240933
-0.00441306,-0.888469,0.279677
-0.159467,-0.115974,0.43379
-0.171845,-0.201627,0.477979
-0.189757,-0.256122,0.522098
-0.204343,-0.321393,0.523858
-0.220452,-0.401468,0.555583
-0.23599,-0.494546,0.580292
-0.251461,-0.58561,0.601723
-0.266544,-0.677531,0.620774
-0.279791,-0.784025,0.633586
-0.257408,-0.680357,0.581115
-0.267873,-0.774748,0.583463
-0.276668,-0.863285,0.580811
-0.285724,-0.945934,0.577336
-0.294287,-1.03205,0.568709
-0.302639,-1.12124,0.555903
-0.310624,-1.21364,0.538654
-0.318407,-1.31,0.517368
-0.328526,-1.40827,0.491134
-0.360417,-1.52763,0.508373
-0.381103,-1.63226,0.474806
-0.401065,-1.73882,0.440522
-0.542923,-1.195,0.627805
-0.545665,-1.29624,0.595746
-0.555265,-1.39429,0.559072
-0.575413,-1.43915,0.549352
-0.630441,-1.4598,0.551225
-0.564175,-0.561785,0.356105
-0.372346,0.441728,0.0867874
-0.390809,0.364826,0.0450387
-0.407587,0.290931,0.00137078
-0.424695,0.218834,-0.0444594
-0.442174,0.146898,-0.0910028
-0.460175,0.0745755,-0.138262
-0.478582,0.000509316,-0.18553
-0.496823,-0.0748804,-0.233011
-0.531626,-0.115894,-0.25212
-0.559849,-0.185013,-0.284821
-0.555515,-0.352941,-0.274493
-0.53363,-0.521904,-0.253079
-0.50845,-0.512507,-0.289619
-0.45924,-0.0694129,-0.497391
-0.531503,-0.0602332,-0.449934
-0.539422,-0.190413,-0.44846
-0.531362,-0.231639,-0.49754
-0.52399,-0.272082,-0.559382
-0.516624,-0.324329,-0.624152
-0.509858,-0.383515,-0.692733
-0.506816,-0.448766,-0.762294
-0.508349,-0.5209,-0.832778
-0.497736,-0.57366,-0.940476
-0.50299,-0.722276,-0.95329
-0.481307,0.168396,-0.773788
-0.484137,0.132344,-0.738985
-0.509728,0.0729545,-0.715514
-0.531763,0.0824267,-0.680844
-0.56686,0.0777597,-0.639697
-0.601256,0.0543584,-0.598891
-0.631051,0.00581211,-0.56354
-0.662052,-0.0188542,-0.538884
-0.701727,-0.0932365,-0.510165
-0.758082,-0.102835,-0.469316
-0.796489,-0.160295,-0.431009
-0.837252,-0.229245,-0.391071
-0.876983,-0.307243,-0.349977
-0.912881,-0.396455,-0.304108
-0.942906,-0.501375,-0.259693
-0.964342,-0.618295,-0.214936
-0.976953,-0.749896,-0.171879
-0.982763,-0.886408,-0.131699
-0.86565,-0.538535,-0.272872
-0.839322,-0.447998,-0.423278
-0.791679,-0.48795,-0.415323
-0.733499,-0.521761,-0.393714
-0.663239,-0.537044,-0.392888
-0.584119,-0.546184,-0.396222
-0.494699,-0.555193,-0.400953
-0.402172,-0.571765,-0.302826
-0.381596,-0.518633,-0.365813
-0.352035,-0.529732,-0.369996
-0.323535,-0.547249,-0.368847
-0.298155,-0.566522,-0.371569
-0.274638,-0.587962,-0.376821
-0.252214,-0.612911,-0.38638
-0.232131,-0.629353,-0.387763
-0.208593,-0.657205,-0.40785
-0.183791,-0.686546,-0.408208
-0.174182,-0.723035,-0.411676
-0.176273,-0.84792,-0.442859
-0.183835,-0.88518,-0.424469
-0.156435,-0.915078,-0.444484
-0.126491,-0.956004,-0.44673
-0.0991687,-1.00253,-0.442549
-0.0707771,-1.05323,-0.434453
-0.0469295,-1.10697,-0.42748
-0.0254213,-1.16661,-0.417246
-0.00438671,-1.23109,-0.40649
0.0108291,-1.30295,-0.387516
0.0232488,-1.38057,-0.37229
-0.543051,-0.00457121,-0.399326
-0.555674,0.00315912,-0.381031
-0.572076,0.0015166,-0.323178
